ObjectId,stopdate,stoptime,streetnbr,streetdir,street,Min_,sex,race,ethnic,Year_of_birth,enfaction,rpmainid
4958,2018/07/27 00:00:00,1044,1499,,17TH ST/ARAPAHOE AVE,10,M,W,N,1958,N,7856
4959,2018/07/27 00:00:00,1005,39000,,US HIGHWAY 36,10,F,W,N,1990,Y,7857
4960,2018/07/27 00:00:00,1900,3699,,28TH ST/WINDING TRAIL DR,5,F,W,N,1955,N,7858
4961,2018/07/27 00:00:00,2200,2700,,KALMIA AVE,5,M,W,H,1981,Y,7859
4962,2018/07/27 00:00:00,2300,1505,,30TH ST,5,M,W,N,1974,N,7860
4963,2018/07/27 00:00:00,2300,1505,,30TH ST,5,M,W,,1980,N,7861
4964,2018/07/27 00:00:00,1651,1100,,FOOTHILLS PKWY,5,M,W,N,1986,N,7862
4965,2018/07/27 00:00:00,1818,2900,,CANYON CREEK RD/BASELINE RD,5,M,W,N,1995,N,7863
4966,2018/07/27 00:00:00,1825,699,,30TH ST/BASELINE RD,5,M,W,N,1973,Y,7864
4967,2018/07/27 00:00:00,1853,500,,AZTEC DR/TENINO AVE,5,F,W,N,1962,Y,7865
4968,2018/07/27 00:00:00,2118,1100,,13TH ST,10,M,B,N,1951,N,7866
4969,2018/07/28 00:00:00,244,3700,,BASELINE RD,15,M,W,N,1994,N,7867
4970,2018/07/28 00:00:00,305,699,,MANHATTAN DR/BASELINE RD,10,F,W,N,2000,N,7868
4971,2018/07/27 00:00:00,2336,300,,CANYON BLVD,45,M,W,N,1990,N,7869
4972,2018/07/28 00:00:00,135,1600,,BROADWAY,5,M,A,N,1980,N,7870
4973,2018/07/28 00:00:00,837,2999,,CENTER GREEN CT/VALMONT RD,10,F,W,N,1989,N,7871
4974,2018/07/28 00:00:00,655,1200,,ARAPAHOE AVE,10,M,W,N,1980,N,7872
4975,2018/07/28 00:00:00,630,,,,10,M,W,N,1982,Y,7873
4976,2018/07/28 00:00:00,645,1210,,ARAPAHOE AVE,10,M,W,N,1971,N,7874
4977,2018/07/28 00:00:00,1230,4745,,VALMONT RD/47TH ST,5,M,W,N,1950,N,7875
4978,2018/07/28 00:00:00,753,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,M,W,N,1966,N,7876
4979,2018/07/28 00:00:00,1255,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,M,W,N,1995,Y,7877
4980,2018/07/28 00:00:00,734,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,M,W,N,1991,Y,7878
4981,2018/07/28 00:00:00,1230,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,M,W,N,1982,Y,7879
4982,2018/07/28 00:00:00,1034,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,M,B,N,1999,Y,7880
4983,2018/07/31 00:00:00,951,1740,,30TH ST,10,M,W,N,1977,N,7935
4984,2018/07/25 00:00:00,1146,,,DIAGONAL HWY/FOOTHILLS PKWY,10,F,W,N,1997,Y,7799
4985,2018/07/28 00:00:00,1708,39000,,US HIGHWAY 36,10,M,W,N,1992,N,7890
4986,2018/07/21 00:00:00,1145,910,,28TH ST,10,F,W,N,1995,N,7686
4987,2018/08/03 00:00:00,1927,2100,,PEARL ST,5,M,W,,1994,Y,8043
