ObjectId,stopdate,stoptime,streetnbr,streetdir,street,Min_,sex,race,ethnic,Year_of_birth,enfaction,rpmainid
1,2018/01/19 00:00:00,30,,,ARAPAHOE AVE/CANYON BLVD,15,M,W,N,1959,N,3174
2,2018/01/13 00:00:00,2235,2398,,CANYON BLVD/FOLSOM ST,10,M,W,N,1989,Y,3175
3,2018/01/19 00:00:00,149,1849,,11TH ST/CANYON | WALNUT ALLEY,5,M,W,N,1996,Y,3176
4,2018/01/19 00:00:00,149,1849,,11TH ST/CANYON | WALNUT ALLEY,5,M,W,N,1996,Y,3177
5,2018/01/11 00:00:00,2300,2299,,30TH ST/PEARL ST,5,F,W,N,1998,Y,3178
6,2018/01/12 00:00:00,10,699,,30TH ST/BASELINE RD,5,F,W,N,1993,N,3179
7,2018/01/12 00:00:00,30,1199,,UNIVERSITY AVE/BROADWAY,5,F,W,N,1992,Y,3180
8,2018/01/18 00:00:00,50,2300,,CANYON BLVD,5,M,W,N,1999,Y,3181
9,2018/01/18 00:00:00,200,3679,,BROADWAY/LINDEN AVE,5,M,B,N,1993,Y,3182
10,2018/01/18 00:00:00,125,1699,,28TH ST/CANYON BLVD,10,M,W,N,1998,N,3183
11,2018/01/18 00:00:00,220,1050,,16TH ST/BROADWAY,5,F,W,N,1996,Y,3184
12,2018/01/18 00:00:00,225,,,ARAPAHOE AVE/CANYON BLVD,5,M,W,N,1993,N,3185
13,2018/01/18 00:00:00,2327,,,HWY 36 WB ON RP @ T MESA/TABLE MESA DR,5,M,B,N,1995,N,3186
14,2018/01/19 00:00:00,219,1899,,15TH ST/WALNUT ST,10,M,W,N,1989,N,3187
15,2018/01/18 00:00:00,2341,1207,,BROADWAY/PENNSYLVANIA AVE,9,F,W,N,1999,Y,3188
16,2018/01/18 00:00:00,2255,1199,,30TH ST/COLORADO AVE,5,M,W,N,1988,Y,3189
17,2018/01/19 00:00:00,1230,4141,,ARAPAHOE AVE,10,F,W,N,1990,N,3190
18,2018/01/19 00:00:00,1510,399,,BASELINE RD/,10,,,,0,,3191
19,2018/01/14 00:00:00,258,,,55TH ST/ARAPAHOE AVE,5,M,W,N,1967,N,3192
20,2018/01/19 00:00:00,1835,,,30TH ST/PEARL PKWY,10,M,W,N,1976,N,3193
21,2018/01/19 00:00:00,1630,20,,CANYON BLVD,10,M,W,N,1986,N,3194
22,2018/01/19 00:00:00,1729,1480,,CANYON BLVD,20,M,W,N,1986,N,3195
23,2018/01/19 00:00:00,2120,15TH,,CANYON,5,M,W,N,1990,N,3196
24,2018/01/19 00:00:00,2259,,,,10,M,W,H,2000,N,3197
25,2018/01/20 00:00:00,10,1899,,BROADWAY/WALNUT ST,10,F,B,N,1996,N,3198
26,2018/01/20 00:00:00,150,975,,28TH FRONTAGE RD/E EUCLID AVE,10,M,W,N,1995,Y,3199
27,2018/01/20 00:00:00,150,975,,28TH FRONTAGE RD/E EUCLID AVE,10,M,W,N,1998,Y,3200
28,2018/01/20 00:00:00,220,1575,,30TH ST,15,F,W,N,1997,N,3201
29,2018/01/20 00:00:00,220,1575,,30TH ST,15,F,W,N,1996,N,3202
30,2018/01/14 00:00:00,815,1090,,11TH ST,20,M,W,N,1991,N,3203
31,2018/01/20 00:00:00,1125,,,US HIGHWAY 36 ON RAMP/TABLE MESA DR,15,M,W,N,1995,Y,3204
32,2018/01/20 00:00:00,1145,,,US HIGHWAY 36 ON RAMP/TABLE MESA DR,15,M,A,N,1988,Y,3205
33,2018/01/20 00:00:00,1210,4800,,BASELINE RD,15,M,W,H,1996,Y,3206
34,2018/01/18 00:00:00,1545,30,,ARAPAHOE,10,M,W,N,1996,Y,3207
35,2018/01/20 00:00:00,1545,4985,,MOORHEAD AVE,5,M,W,H,1952,Y,3208
36,2018/01/20 00:00:00,156,4900,,PEARL EAST CIR,15,M,W,N,1972,N,3209
37,2018/01/20 00:00:00,1736,598,,BROADWAY/BASELINE RD,5,M,W,N,2001,N,3210
38,2018/01/20 00:00:00,1923,1899,,ELDER AVE/19TH ST,5,M,W,N,1958,Y,3211
39,2018/01/20 00:00:00,1940,,,BROADWAY/TABLE MESA,5,M,W,N,1986,N,3212
40,2018/01/20 00:00:00,2102,,,14TH ST/CANYON BLVD,15,M,W,N,1951,N,3213
41,2018/01/20 00:00:00,2315,,,FOOTHILLS PKWY/VALMONT RD,15,M,W,N,1995,N,3214
42,2018/01/21 00:00:00,8,165,,CHEROKEE WAY,15,M,W,N,1989,Y,3215
43,2018/01/21 00:00:00,151,1100,,WALNUT ST,15,M,W,N,1962,N,3216
44,2018/01/20 00:00:00,218,4520,,BROADWAY,10,M,B,N,1966,N,3217
45,2018/01/20 00:00:00,218,4520,,BROADWAY,10,M,W,N,1978,N,3218
46,2018/01/20 00:00:00,235,800,,CHERRY AVE,12,M,W,N,1986,N,3219
47,2018/01/20 00:00:00,235,800,,CHERRY AVE,12,F,W,N,1961,N,3220
48,2018/01/20 00:00:00,322,3000,,IRIS AVE,5,F,W,N,1988,N,3221
49,2018/01/21 00:00:00,27,3500,,DIAGONAL HWY,7,M,W,N,1958,Y,3222
50,2018/01/09 00:00:00,820,900,,ARAPAHOE AVE,20,F,W,N,1959,N,3223
51,2018/01/12 00:00:00,955,,,FOOTHILLS PKWY/COLORADO AVE,10,F,W,N,1985,Y,3068
52,2018/01/12 00:00:00,1015,1560,,30TH ST/MARINE ST,7,M,W,N,1991,Y,3069
53,2018/01/12 00:00:00,837,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1980,N,3070
54,2018/01/12 00:00:00,1826,1898,,28TH ST/WALNUT ST,5,M,W,N,1959,,3071
55,2018/01/12 00:00:00,1900,33,,ARAPAHOE,25,M,B,N,1981,N,3072
56,2018/01/12 00:00:00,1923,1899,,28TH ST/WALNUT ST,5,F,W,N,1964,Y,3073
57,2018/01/12 00:00:00,2306,1505,,30TH ST,20,M,W,N,1999,Y,3074
58,2018/01/12 00:00:00,2243,3050,,E EUCLID AVE,20,M,W,N,1970,N,3075
59,2018/01/12 00:00:00,30,1700,,13TH ST/ARAPAHOE AVE,5,M,W,N,1975,Y,3076
60,2018/01/12 00:00:00,144,4399,,13TH ST/VIOLET AVE,5,F,W,H,1987,Y,3077
61,2018/01/12 00:00:00,245,2599,,BROADWAY/NORTH ST,10,M,W,N,1990,Y,3078
62,2018/01/13 00:00:00,349,1500,,PEARL ST,10,M,W,N,1986,N,3079
63,2018/01/13 00:00:00,349,1500,,PEARL ST,10,F,W,N,1960,,3080
64,2018/01/13 00:00:00,349,1500,,PEARL ST,10,F,W,N,1990,N,3081
65,2018/01/13 00:00:00,333,1500,,PEARL ST,15,M,B,N,1970,N,3082
66,2018/01/12 00:00:00,2250,2349,,BROADWAY/MAXWELL AVE,10,M,W,N,1960,Y,3083
67,2018/01/11 00:00:00,2318,2900,,IRIS AVE,10,M,W,N,1969,N,3084
68,2018/01/11 00:00:00,2352,4700,,28TH ST,10,F,W,N,1989,Y,3085
69,2018/01/12 00:00:00,51,1500,,PEARL ST,15,M,W,N,1970,N,3086
70,2018/01/12 00:00:00,107,1701,,PEARL ST,10,F,W,N,1962,Y,3087
71,2018/01/12 00:00:00,51,1500,,PEARL ST,15,M,B,N,1970,N,3088
72,2018/01/12 00:00:00,120,2970,,19TH ST,5,M,W,N,1987,Y,3089
73,2018/01/12 00:00:00,159,2525,,ARAPAHOE AVE,10,M,A,N,1958,N,3090
74,2018/01/12 00:00:00,217,2760,,CANYON BLVD,10,M,W,N,1975,Y,3091
75,2018/01/12 00:00:00,2208,949,,PENNSYLVANIA AVE/LINCOLN PL,9,F,W,N,1995,Y,3092
76,2018/01/12 00:00:00,2235,1050,,16TH ST/BROADWAY,9,F,W,N,1994,Y,3093
77,2018/01/14 00:00:00,205,1500,,WALNUT ST,5,M,W,N,1990,Y,3094
78,2018/01/13 00:00:00,2230,1236,,CANYON BLVD,30,M,W,N,1982,N,3095
79,2018/01/13 00:00:00,2230,1236,,CANYON BLVD,30,F,W,N,2001,Y,3096
80,2018/01/13 00:00:00,2230,1236,,CANYON BLVD,15,F,B,N,2001,,3097
81,2018/01/14 00:00:00,230,1500,,PEARL ST,15,F,W,N,1986,N,3098
82,2018/01/14 00:00:00,230,1500,,PEARL ST,15,F,W,N,1987,N,3099
83,2018/01/13 00:00:00,2230,2200,,BROADWAY,10,M,W,N,1994,Y,3100
84,2018/01/13 00:00:00,2300,1800,,BROADWAY,10,F,W,N,1995,Y,3101
85,2018/01/13 00:00:00,2215,2800,,OLSON DR,5,F,W,N,1971,Y,3102
86,2018/01/14 00:00:00,230,2000,,PEARL ST,10,M,W,N,1996,N,3103
87,2018/01/14 00:00:00,1207,1650,,30TH ST,22,M,W,H,2001,Y,3104
88,2018/01/14 00:00:00,1345,2800,,COLORADO AVE,10,F,W,H,1992,N,3105
89,2018/01/14 00:00:00,1410,,,UNIVERSITY HEIGHTS/COLORADO AVE,10,M,W,N,1971,N,3106
90,2018/01/14 00:00:00,1444,200,,FOOTHILLS PKWY,5,F,W,N,1989,Y,3107
91,2018/01/14 00:00:00,1500,400,,FOOTHILLS PKWY,4,M,W,N,1998,N,3108
92,2018/01/14 00:00:00,1510,5399,,MANHATTAN CIR/SOUTH BOULDER RD,5,M,W,N,1991,N,3109
93,2018/01/14 00:00:00,1524,,,38TH ST/ARAPAHOE AVE,2,M,W,N,1995,Y,3110
94,2018/01/14 00:00:00,1708,,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1996,N,3111
95,2018/01/14 00:00:00,1908,1899,,26TH ST/WALNUT ST,10,M,W,N,1967,Y,3112
96,2018/01/14 00:00:00,2230,,,28TH ST/ARAPAHOE AVE,10,F,W,N,1995,N,3113
97,2018/01/15 00:00:00,1,1200,,CANYON BLVD,10,F,A,,1981,N,3114
98,2018/01/15 00:00:00,15,2500,,CANYON BLVD,10,M,W,N,1974,Y,3115
99,2018/01/14 00:00:00,2300,2100,,15TH ST,10,F,W,N,1991,Y,3116
100,2018/01/14 00:00:00,2309,1800,,PEARL ST,65,F,W,N,2000,N,3117
101,2018/01/01 00:00:00,1619,4561,,ARAPAHOE AVE/MACARTHUR DR,5,M,W,N,1976,Y,2862
102,2018/01/01 00:00:00,1630,6600,,ARAPAHOE AVE,10,M,W,N,2000,N,2863
103,2017/12/31 00:00:00,214,1799,,BROADWAY/CANYON BLVD,35,M,W,N,1991,N,2864
104,2017/12/31 00:00:00,214,1799,,BROADWAY/CANYON BLVD,35,M,W,N,1992,N,2865
105,2017/12/31 00:00:00,214,1799,,BROADWAY/CANYON BLVD,350,M,W,N,1958,N,2866
106,2017/12/31 00:00:00,2213,1900,,IRIS AVE,10,F,W,N,2000,N,2867
107,2018/01/02 00:00:00,736,4871,,BROADWAY,18,M,W,N,1975,Y,2868
108,2018/01/02 00:00:00,756,4871,,BROADWAY,18,M,W,N,1990,N,2869
109,2018/01/02 00:00:00,1207,1650,,30TH ST,10,F,W,N,1976,N,2870
110,2018/01/02 00:00:00,1530,,,FOOTHILLS PKWY,10,,,,1961,Y,2871
111,2018/01/02 00:00:00,2149,2900,,30TH ST,10,F,W,,1999,Y,2872
112,2018/01/02 00:00:00,2038,3599,,47TH ST/DIAGONAL HWY,10,F,W,N,1971,Y,2873
113,2018/01/02 00:00:00,2151,4800,,BASELINE RD,15,M,W,N,1938,Y,2875
114,2018/01/03 00:00:00,102,1301,,BROADWAY,10,F,W,N,1998,Y,2876
115,2018/01/03 00:00:00,126,799,,15TH ST/CASCADE AVE,5,M,B,N,1972,N,2877
116,2018/01/03 00:00:00,154,1199,,SPRUCE ST/BROADWAY,8,M,W,N,1988,Y,2878
117,2018/01/03 00:00:00,830,,,US HIGHWAY 36 ON RAMP/TABLE MESA DR,10,M,W,N,1990,N,2879
118,2018/01/03 00:00:00,2030,1800,,28TH ST,5,M,W,H,1964,N,2880
119,2018/01/02 00:00:00,2000,,,30TH ST/PEARL PKWY,5,M,W,N,1989,Y,2881
120,2018/01/03 00:00:00,1934,1849,,11TH ST/CANYON | WALNUT ALLEY,5,M,W,N,1952,N,2882
121,2018/01/03 00:00:00,1940,1799,,15TH ST/CANYON BLVD,25,M,W,H,1993,N,2883
122,2018/01/03 00:00:00,2213,4599,,14TH ST/YARMOUTH AVE,10,M,W,H,2000,Y,2884
123,2018/01/03 00:00:00,2226,1200,,IRIS AVE/BROADWAY,10,M,W,N,1994,N,2885
124,2018/01/03 00:00:00,2149,3210,,ARAPAHOE AVE,20,M,W,N,1969,N,2886
125,2018/01/04 00:00:00,39,,,30TH ST/ARAPAHOE AVE,10,M,W,N,1991,N,2887
126,2018/01/04 00:00:00,150,,,63RD ST/ARAPAHOE AVE,5,M,W,N,1989,N,2888
127,2018/01/04 00:00:00,30,,,FOOTHILLS PKWY/SOUTH BOULDER RD,5,M,W,N,1985,N,2889
128,2018/01/03 00:00:00,1805,1799,,BROADWAY/CANYON BLVD,5,F,W,N,1956,Y,2890
129,2018/01/03 00:00:00,2345,1500,,PEARL ST,15,M,W,N,1992,N,2891
130,2018/01/03 00:00:00,2345,1500,,PEARL ST,15,M,W,N,1982,N,2892
131,2018/01/03 00:00:00,2345,1500,,PEARL ST,15,M,W,N,1969,N,2893
132,2017/12/22 00:00:00,2135,1999,,BROADWAY/PEARL ST,8,M,W,N,2000,Y,2894
133,2018/01/03 00:00:00,2304,799,,9TH ST/CASCADE AVE,8,M,W,N,1985,N,2895
134,2018/01/04 00:00:00,110,1500,,WALNUT ST,5,M,W,N,1986,N,2896
135,2018/01/04 00:00:00,445,1350,,COLLEGE AVE,5,M,B,N,1989,N,2897
136,2018/01/04 00:00:00,26,2885,,E AURORA AVE,6,F,W,N,1997,Y,2898
137,2018/01/04 00:00:00,318,3500,,ARAPAHOE AVE,9,M,W,N,1968,Y,2899
138,2018/01/04 00:00:00,744,1499,,17TH ST/ARAPAHOE AVE,5,M,W,N,1985,Y,2900
139,2018/01/04 00:00:00,835,,,BASELINE RD/FOOTHILLS PKWY,9,F,W,N,1952,Y,2901
140,2018/01/04 00:00:00,1010,2999,,CENTER GREEN CT/VALMONT RD,10,F,W,N,1986,N,2902
141,2018/01/04 00:00:00,1131,,,FOOTHILLS PKWY/VALMONT RD,10,M,B,N,1996,Y,2903
142,2018/01/04 00:00:00,1055,2999,,CENTER GREEN CT/VALMONT RD,10,F,W,N,1981,N,2904
143,2018/01/04 00:00:00,1055,899,,20TH ST/BROADWAY,10,M,W,N,1975,Y,2905
144,2018/01/05 00:00:00,15,1800,,28TH ST,15,F,W,N,1983,N,2914
145,2018/01/06 00:00:00,1049,,,PENNSYLVANIA AVE/28TH ST,10,M,A,N,1987,N,2965
146,2018/01/15 00:00:00,213,949,,18TH ST/BROADWAY,6,F,W,N,1994,N,3118
147,2018/01/10 00:00:00,817,1279,,EISENHOWER DR/LEE CIR,14,M,W,N,1991,N,3016
148,2018/01/04 00:00:00,1107,,,FOOTHILLS PKWY/VALMONT RD,10,M,W,N,1999,Y,2906
149,2018/01/04 00:00:00,1210,1398,,FOOTHILLS PKWY/COLORADO AVE,4,F,W,N,1947,N,2907
150,2018/01/04 00:00:00,1039,2598,,BASELINE RD/27TH WAY,10,M,W,N,1981,N,2908
151,2018/01/04 00:00:00,1010,,,APRAHOE/PATTEN DR,10,F,W,N,1993,N,2909
152,2018/01/04 00:00:00,900,1899,,30TH ST/WALNUT ST,10,M,W,N,1966,N,2910
153,2018/01/04 00:00:00,1038,200 BLK,,FOOTHILLS PKY,15,M,W,N,1993,N,2911
154,2018/01/04 00:00:00,1105,200 BLK,,FOOTHILLS PKY,15,M,W,N,1959,N,2912
155,2018/01/05 00:00:00,45,2029,,BROADWAY/PEARL | SPRUCE ALLEY,15,M,W,N,1997,Y,2916
156,2018/01/07 00:00:00,1450,4748,,TABLE MESA DR/MOORHEAD AVE,10,M,W,N,1987,N,2966
157,2018/01/12 00:00:00,516,2801,,IRIS AVE,7,F,W,N,1997,Y,3119
158,2018/01/10 00:00:00,1110,,,SPINE RD/63RD ST,10,M,W,N,1990,N,3017
159,2018/01/04 00:00:00,2100,,,HARVARD LN/TABLE MESA DR,10,M,W,N,1967,Y,2917
160,2018/01/07 00:00:00,1107,,,30TH ST/PEARL PKWY,10,M,W,H,1991,Y,2967
161,2018/01/15 00:00:00,2356,1900,,BROADWAY,20,M,W,N,1990,Y,3120
162,2018/01/10 00:00:00,1505,1699,,19TH ST/GOSS ST,10,F,W,N,1978,Y,3018
163,2017/12/09 00:00:00,2330,3549,,28TH ST/KALMIA CT,5,M,W,N,0,Y,2918
164,2018/01/07 00:00:00,1137,4399,,28TH ST/VIOLET AVE,10,F,W,N,1971,N,2968
165,2018/01/15 00:00:00,2340,,,REGENT DR/COLORADO AVE,25,M,W,N,1997,Y,3121
166,2018/01/10 00:00:00,1910,,,29TH ST/ARAPAHOE AVE,5,M,W,N,1961,N,3019
167,2017/12/31 00:00:00,2335,1499,,BROADWAY/GRANDVIEW AVE,5,M,A,N,1980,N,2919
168,2018/01/07 00:00:00,1206,4599,,28TH ST/YARMOUTH AVE,10,F,W,N,1962,Y,2969
169,2018/01/16 00:00:00,132,1700,,29TH ST,5,M,W,H,1996,N,3122
170,2018/01/10 00:00:00,1755,355,,PONCA PL,0,M,W,N,1982,Y,3020
171,2018/01/05 00:00:00,803,2699,,BROADWAY/ALPINE AVE,5,F,B,N,1972,Y,2920
172,2018/01/07 00:00:00,1239,3120,,CORONA TRL,10,M,W,N,1968,Y,2970
173,2018/01/16 00:00:00,1144,2000,,BROADWAY,22,M,W,N,1987,N,3123
174,2018/01/10 00:00:00,1755,355,,PONCA PL,0,M,W,N,1982,Y,3021
175,2018/01/05 00:00:00,920,3300,,VALMONT RD,10,F,W,N,1992,N,2921
176,2018/01/07 00:00:00,1630,399,,S BROADWAY/DARTMOUTH AVE,10,F,W,N,1958,Y,2971
177,2018/01/16 00:00:00,1443,,,FOOTHILLS PKWY/PEARL PKWY,15,F,W,N,1965,N,3124
178,2018/01/10 00:00:00,2150,1599,,FOLSOM ST/ARAPAHOE AVE,10,M,W,N,1985,Y,3022
179,2018/01/04 00:00:00,805,2800,,ARAPAHOE AVE,5,F,W,N,1949,N,2922
180,2018/01/08 00:00:00,200,1600,,PEARL ST,7,M,W,N,1986,N,2972
181,2018/01/07 00:00:00,1130,5190,,SOUTH BOULDER RD,0,F,W,N,1960,Y,3125
182,2018/01/10 00:00:00,1750,1898,,30TH ST/WALNUT ST,10,M,W,N,1939,Y,3023
183,2018/01/05 00:00:00,755,,,CANYON BLVD/30TH ST,5,F,W,N,1996,Y,2923
184,2018/01/08 00:00:00,230,,,29TH ST/BASELINE RD,10,M,W,N,1989,N,2973
185,2018/01/09 00:00:00,900,1899,,28TH ST/WALNUT ST,15,M,W,N,1968,Y,3126
186,2018/01/11 00:00:00,45,1350,,COLLEGE AVE,5,M,W,N,1973,N,3024
187,2018/01/05 00:00:00,945,,,FOOTHILLS PKWY/VALMONT RD,10,F,W,N,1987,N,2924
188,2018/01/08 00:00:00,530,999,,17TH ST/BROADWAY,5,M,W,N,1971,Y,2974
189,2018/01/16 00:00:00,1757,,,33RD ST/ARAPAHOE AVE,10,M,W,N,1994,N,3127
190,2018/01/11 00:00:00,30,1350,,COLLEGE AVE,10,M,B,N,1989,Y,3025
191,2018/01/04 00:00:00,1440,6023,,ARAPAHOE AVE/CHERRYVALE RD,10,F,W,N,1946,N,2925
192,2018/01/04 00:00:00,1434,3399,,30TH ST/IRIS AVE,10,M,W,N,1982,N,2975
193,2018/01/16 00:00:00,2023,1500,,PEARL ST,10,F,W,N,1980,N,3128
194,2018/01/10 00:00:00,2300,1480,,CANYON BLVD,5,M,W,N,1965,N,3026
195,2018/01/04 00:00:00,1450,,,6400 ARAPAHOE AVE,10,F,W,N,1950,N,2926
196,2018/01/08 00:00:00,800,1236,,CANYON BLVD,10,M,W,N,1982,N,2976
197,2018/01/16 00:00:00,2339,777,,BROADWAY,15,F,W,N,1991,N,3129
198,2018/01/10 00:00:00,2230,2100,,CANYON BLVD,4,M,W,N,1986,N,3027
199,2018/01/05 00:00:00,1213,698,,FOOTHILLS PKWY/BASELINE RD,10,M,W,H,1980,N,2927
200,2018/01/01 00:00:00,1643,2850,,MAPLETON AVE,25,M,W,N,1954,N,2977
201,2018/01/17 00:00:00,236,2460,,BASELINE RD,16,M,W,N,1958,N,3130
202,2018/01/10 00:00:00,2220,,,30TH ST/PEARL PKWY,9,M,W,N,1965,N,3028
203,2018/01/05 00:00:00,1238,698,,FOOTHILLS PKWY/BASELINE RD,10,M,W,N,1965,Y,2928
204,2018/01/02 00:00:00,1545,3199,,28TH ST/GLENWOOD DR,13,M,B,N,1988,Y,2978
205,2018/01/16 00:00:00,1459,,,DIAGONAL HWY/INDEPENDENCE RD,10,M,W,H,1966,N,3131
206,2018/01/10 00:00:00,2338,,,9TH ST/CANYON BLVD,9,F,W,N,1993,Y,3029
207,2018/01/05 00:00:00,1250,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1993,Y,2929
208,2018/01/08 00:00:00,1530,1500,,LEE HILL DR,6,M,W,N,1970,N,2979
209,2018/01/16 00:00:00,1438,,,DIAGONAL HWY/INDEPENDENCE RD,10,M,W,N,1954,Y,3132
210,2018/01/11 00:00:00,407,1899,,38TH ST/WALNUT ST,6,M,W,N,1964,Y,3030
211,2018/01/05 00:00:00,1301,699,,MANHATTAN DR/BASELINE RD,10,M,W,N,1988,N,2930
212,2018/01/08 00:00:00,1545,1500,,LEE HILL DR,6,F,W,N,1958,N,2980
213,2018/01/17 00:00:00,950,1100,,WALNUT ST,6,F,W,N,1956,N,3133
214,2018/01/11 00:00:00,427,2765,,55TH ST/PEARL PKWY,30,F,W,N,1974,N,3031
215,2018/01/05 00:00:00,1823,1899,,30TH ST/WALNUT ST,5,F,W,N,1987,Y,2931
216,2018/01/08 00:00:00,1505,,,YARMOUTH AVE/28TH ST,60,M,W,N,1950,N,2981
217,2018/01/07 00:00:00,2318,1777,,6TH STREET,0,F,W,N,1968,N,2982
218,2018/01/07 00:00:00,2336,6180,,63RD ST,10,M,W,N,1972,N,2983
219,2018/01/08 00:00:00,2324,1999,,7TH ST/PEARL ST,5,M,W,N,1994,N,2984
220,2018/01/08 00:00:00,2332,1899,,9TH ST/WALNUT ST,5,M,W,N,1992,N,2985
221,2018/01/09 00:00:00,240,1100,,BALSAM AVE,5,M,W,H,1972,Y,2986
222,2018/01/08 00:00:00,1535,1999,,JOSLYN PL/JOSLYN CT,5,F,W,N,1981,N,2987
223,2018/01/09 00:00:00,843,4199,,VALMONT RD/CENTER GREEN DR,10,F,W,N,1959,Y,2988
224,2018/01/09 00:00:00,810,4199,,VALMONT RD/CENTER GREEN DR,10,F,W,N,1993,N,2989
225,2018/01/09 00:00:00,802,3561,,VALMONT RD/WILDERNESS PL,10,M,W,N,1982,Y,2990
226,2018/01/09 00:00:00,748,4199,,VALMONT RD/CENTER GREEN DR,10,F,W,N,1951,N,2991
227,2018/01/09 00:00:00,828,4199,,VALMONT RD/CENTER GREEN DR,10,F,W,N,1990,Y,2992
228,2018/01/09 00:00:00,849,3003,,VALMONT RD,10,M,W,N,1957,N,2993
229,2018/01/09 00:00:00,1126,3699,,28TH ST/WINDING TRAIL DR,10,F,W,N,1981,N,2994
230,2018/01/09 00:00:00,1111,3699,,28TH ST/WINDING TRAIL DR,10,F,W,N,1963,Y,2995
231,2018/01/09 00:00:00,1100,3549,,28TH ST/KALMIA CT,10,F,W,N,1973,N,2996
232,2018/01/09 00:00:00,1023,3549,,28TH ST/KALMIA CT,10,F,W,N,1955,Y,2997
233,2018/01/09 00:00:00,1037,3549,,28TH ST/KALMIA CT,10,M,W,N,1969,N,2998
234,2018/01/09 00:00:00,1048,3549,,28TH ST/KALMIA CT,10,F,W,N,1944,Y,2999
235,2018/01/09 00:00:00,1323,,,FOLSOM ST/CANYON BLVD,10,M,W,N,1949,N,3000
236,2018/01/01 00:00:00,1500,1799,,BROADWAY/CANYON BLVD,10,M,W,N,1992,Y,3001
237,2018/01/01 00:00:00,1500,1799,,BROADWAY/CANYON BLVD,10,M,W,N,1982,Y,3002
238,2018/01/01 00:00:00,1500,1799,,BROADWAY/CANYON BLVD,10,M,W,N,1980,Y,3003
239,2018/01/09 00:00:00,930,1100 BLK,,S BROADWAY,5,M,W,N,1968,N,3004
240,2018/01/09 00:00:00,1135,3000 BLK,,19TH ST,5,M,W,N,1985,Y,3005
241,2018/01/09 00:00:00,1150,3000 BLK,,19TH ST,15,F,W,H,1978,N,3006
242,2018/01/09 00:00:00,1215,2899,,19TH ST/CEDAR AVE,5,F,W,N,1977,N,3007
243,2018/01/10 00:00:00,30,1899,,9TH ST/WALNUT ST,14,M,W,N,1996,Y,3008
244,2018/01/10 00:00:00,118,1825,,33RD ST,9,M,W,N,1984,N,3009
245,2018/01/09 00:00:00,2315,1600,,28TH ST,15,M,W,N,1994,Y,3010
246,2018/01/10 00:00:00,815,799,,20TH ST/CASCADE AVE,10,M,W,N,1971,Y,3011
247,2018/01/10 00:00:00,845,2799,,DARTMOUTH AVE/DOVER DR,10,M,W,N,1966,Y,3012
248,2018/01/10 00:00:00,1204,,,PEARL ST/28TH ST,20,F,W,N,1991,Y,3014
249,2018/01/10 00:00:00,1252,2765,,55TH ST/PEARL PKWY,10,F,W,N,1999,N,3015
250,2018/01/05 00:00:00,2210,2400,,NORWOOD AVE,10,M,W,N,2001,Y,2932
251,2018/01/11 00:00:00,238,,,200-BLK HWY 157,28,F,W,N,1967,N,3032
252,2018/01/17 00:00:00,1146,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1980,Y,3134
253,2018/01/05 00:00:00,2210,2400,,NORWOOD AVE,10,F,W,N,2001,Y,2933
254,2018/01/11 00:00:00,835,4298,,BASELINE RD/INCA PKWY,10,F,W,N,1980,Y,3033
255,2018/01/17 00:00:00,1114,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1995,N,3135
256,2018/01/05 00:00:00,2200,2800,,WALNUT ST,10,M,W,N,1981,N,2934
257,2018/01/11 00:00:00,840,1601,,38TH ST/ARAPAHOE AVE,10,M,W,H,1984,N,3036
258,2018/01/17 00:00:00,1001,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,H,1993,N,3136
259,2018/01/06 00:00:00,55,4499,,TABLE MESA DR/S 45TH ST,5,M,W,H,1979,Y,2935
260,2018/01/11 00:00:00,1045,4698,,BASELINE RD/MOHAWK DR,10,M,W,N,1998,N,3037
261,2018/01/17 00:00:00,820,1000,,LEHIGH ST/TABLE MESA DR,10,F,W,N,1978,Y,3137
262,2018/01/06 00:00:00,135,,,28TH ST ON RAMP/BASELINE RD,5,F,W,N,1966,N,2936
263,2018/01/11 00:00:00,745,999,,30TH ST/E EUCLID AVE,10,M,W,N,1961,Y,3038
264,2018/01/17 00:00:00,1125,1100 BLK,,S BROADWAY,5,M,B,N,1992,Y,3138
265,2018/01/06 00:00:00,150,,,35TH ST/BASELINE RD,5,M,W,N,1998,Y,2937
266,2018/01/11 00:00:00,831,2699,,TABLE MESA DR/TABLE MESA CT,10,F,W,N,1972,Y,3039
267,2018/01/17 00:00:00,1420,200 BLK,,FOOTHILLS PKY,5,F,A,N,1979,N,3139
268,2018/01/06 00:00:00,927,1301,,30TH ST,14,M,W,N,1943,Y,2938
269,2018/01/11 00:00:00,1050,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,F,W,N,1981,N,3040
270,2018/01/17 00:00:00,1439,200 BLK,,FOOTHILLS PKY,15,F,W,N,1985,Y,3140
271,2018/01/06 00:00:00,905,,,FOOTHILLS PKWY/VALMONT RD,10,M,W,N,1953,N,2939
272,2018/01/11 00:00:00,1210,1206,,17TH ST/HILLSIDE RD,10,F,W,N,1996,Y,3041
